id;num_voie;indice_repet;type_voie;voie;id_commune;code_postal;type_local;surface;nb_pieces
1;190;A;RUE;CENTRALE;0;01370;Appartement;52;2
2;347;;RUE;DU CHATEAU;1;01170;Appartement;48;3
3;58;;AV;DU MONT BLANC;2;01220;Appartement;130;6
4;140;;RUE;DE L'ABBE JOLIVET;3;01630;Maison;109;5
5;39;;RUE;BUFFON;4;01200;Appartement;91;4
6;28;;AV;JEAN FALCONNIER;5;01350;Appartement;32;2
7;8;;RUE;DE GENEVE;6;01630;Appartement;52;2
8;2;;RUE;DU RECULET;6;01630;Appartement;60;2
9;1403;;RUE;JEAN DE GINGINS;2;01220;Maison;96;4
10;226;;ALL;DES CAPUCINES;6;01630;Maison;117;5
11;276;;RTE;DE POUGNY;3;01630;Appartement;36;2
12;79;;CRS;DE VERDUN;7;01100;Appartement;137;5
13;77;B;RUE;DU COMMERCE;8;01130;Appartement;43;2
14;240;;RUE;DE PRE BAILLY;9;01170;Appartement;45;2
15;3;;RUE;TURENNE;4;01200;Appartement;84;4
16;44;;ALL;DU SQUARE DE LAUSANNE;2;01220;Appartement;88;4
17;59;;RUE;ALEXANDRE BERARD;10;01500;Appartement;143;6
18;282;;CHE;DES LONGES RAYES;11;01170;Appartement;42;2
19;54;;GR;GRANDE RUE;12;01150;Appartement;65;3
20;1;;RUE;DE GEX;13;01210;Appartement;75;3
21;17;;LOT;LES JARDINS DE CHEVRY;1;01170;Appartement;30;1
22;329;;RUE;DES CARPIERES;14;01170;Appartement;25;1
23;369;;AV;CHARLES DE GAULLE;15;01150;Appartement;52;2
24;154;;RUE;SUR LA VIGNETTE;16;01130;Appartement;88;3
25;6;;RUE;DES USINIERS;9;01170;Appartement;45;1
26;2;;RUE;DU JURA;6;01630;Appartement;83;3
27;54;;RUE;MARCEL DEMIA;10;01500;Appartement;68;3
28;269;;CHE;DE CHARIGNIN;17;01300;Appartement;64;3
29;322;;RUE;DE BRETIGNY;18;01210;Maison;109;4
30;132;;ALL;DES HETRES;6;01630;Appartement;133;4
31;80;;RUE;DE MEYRIN;13;01210;Appartement;63;3
32;4;;RUE;DE LA MAIRIE;5;01350;Appartement;50;3
33;79;;GR;GRANDE RUE DE BULLIEZ;15;01150;Appartement;74;3
34;8;;RUE;DE LA BIENNE;19;01590;Appartement;121;4
35;29;;RUE;REINE CLOTILDE;10;01500;Appartement;62;2
36;3;;RUE;STE MARIE;17;01300;Appartement;73;4
37;956;;RTE;DE BOURG;15;01150;Maison;88;2
38;1;;AV;DU BIJOU;13;01210;Appartement;71;3
39;58;;CHE;DE LA PLANCHE BRULEE;13;01210;Maison;101;4
40;211;;RUE;CHANTEPIE;20;01280;Appartement;45;2
41;25;;RUE;DE LA ROCHE SAMUEL;21;01110;Appartement;63;2
42;25;;RUE;DE LA COMMUNE 1871;10;01500;Maison;68;3
43;6;;;DE LA TOUR;22;01640;Appartement;90;4
44;91;;CHE;DE LA PLANCHE BRULEE;13;01210;Appartement;120;4
45;3;;RUE;DU DOCTEUR GREZEL;23;01130;Appartement;106;5
46;28;;RUE;DU DOC CHARCOT;24;01500;Appartement;43;2
47;312;;RUE;DES TERRASSES;25;01710;Maison;120;5
48;10;;RUE;AMPERE;7;01100;Appartement;67;2
49;1;;RUE;GERARD DE NERVAL;26;01100;Appartement;68;3
50;10;;RUE;DES HAUTAINS;6;01630;Appartement;112;5
51;102;;MAIL;DU NEUTRINO;20;01280;Maison;95;4
52;84;;RUE;DE MEYRIN;13;01210;Appartement;63;3
53;115;;RUE;MASONOD;27;01110;Appartement;75;4
54;812;;RUE;DES VERTES CAMPAGNES;9;01170;Maison;160;6
55;26;;CHE;DE LA PLANCHE BRULEE;13;01210;Appartement;67;3
56;2;;RUE;DE CHAMP FUSY;6;01630;Appartement;31;1
57;53;;ALL;DES PRUNUS;6;01630;Appartement;166;5
58;541;;RUE;DES MONTS JURA;28;01410;Appartement;56;2
59;386;;CHE;DES SOUPIRS;17;01300;Appartement;63;3
60;663;;RTE;BLANCHE;14;01170;Appartement;88;3
61;377;;RUE;DES ABATTOIRS;9;01170;Appartement;87;4
62;60;;ALL;DES FRERES CAUDRON;10;01500;Appartement;51;2
63;86;;RUE;DE LA REPUBLIQUE;4;01200;Appartement;39;1
64;148;;IMP;DU SAUGY;18;01210;Appartement;71;3
65;77;J;LOT;CLOS CHAMP VRILLARD;11;01170;Maison;143;6
66;27;;RLE;DE L EGLISE;9;01170;Appartement;53;3
67;5;;PL;DE L EGLISE;15;01150;Appartement;39;2
68;94;;ALL;SIMON VAN DER MEER;20;01280;Appartement;89;4
69;242;;RUE;DE PRE BAILLY;9;01170;Appartement;50;2
70;8;;RTE;DE DIVONNE;29;01170;Appartement;136;4
71;24;;RUE;LAMARTINE;4;01200;Appartement;62;3
72;88;;RUE;DU PETIT CHAMP;25;01710;Maison;102;4
73;27;;RUE;DES VERGERS;25;01710;Appartement;43;2
74;250;;RUE;DES FRENES;30;01580;Maison;83;4
75;13;;RUE;JEAN MONNET;10;01500;Appartement;55;2
76;2;;RUE;DE LA BATISSE;10;01500;Appartement;81;3
77;33;;RUE;DE GENEVE;6;01630;Appartement;56;3
78;30;;RUE;DE VERSOIX;13;01210;Appartement;75;3
79;322;;RUE;DE BRETIGNY;18;01210;Maison;90;4
80;923;;RTE;DE MURY;31;01170;Maison;86;4
81;77;;RUE;LA PIECE;1;01170;Maison;118;5
82;103;;MAIL;DU NEUTRINO;20;01280;Maison;110;5
