id;commune;code_dept
0;SAINT-ETIENNE-DU-BOIS;1
1;CHEVRY;1
2;DIVONNE-LES-BAINS;1
3;PERON;1
4;VALSERHONE;1
5;CULOZ;1
6;ST-GENIS-POUILLY;1
7;OYONNAX;1
8;ST-GERMAIN-DE-JOUX;1
9;GEX;1
10;AMBERIEU-EN-BUGEY;1
11;CESSY;1
12;SAULT-BRENAZ;1
13;FERNEY-VOLTAIRE;1
14;SEGNY;1
15;LAGNIEU;1
16;LE POIZAT-LALLEYRIAT;1
17;BELLEY;1
18;ORNEX;1
19;DORTAN;1
20;PREVESSIN-MOENS;1
21;BRENOD;1
22;SAINT-JEAN-LE-VIEUX;1
23;NANTUA;1
24;SAINT-DENIS-EN-BUGEY;1
25;THOIRY;1
26;BELLIGNAT;1
27;PLATEAU D'HAUTEVILLE;1
28;LELEX;1
29;VESANCY;1
30;IZERNORE;1
31;ECHENEVEX;1
32;VERSONNEX;1
33;SAINT-VULBAS;1
34;COLLONGES;1
35;CHAMPAGNE-EN-VALROMEY;1
36;JUJURIEUX;1
37;MATAFELON-GRANGES;1
38;HAUT-VALROMEY;1
39;ARBENT;1
40;LOYETTES;1
41;MIJOUX;1
42;SERGY;1
43;FARGES;1
44;CROZET;1
45;VILLARS-LES-DOMBES;1
46;MEXIMIEUX;1
47;MONTCEAUX;1
48;MONTLUEL;1
49;JASSANS-RIOTTIER;1
50;BEAUREGARD;1
51;DAGNEUX;1
52;MIONNAY;1
53;VILLIEU-LOYES-MOLLON;1
54;CHAUNY;2
55;LAON;2
56;LA FERE;2
57;URCEL;2
58;SAINT GOBAIN;2
59;TERGNIER;2
60;FOLEMBRAY;2
61;SAINT QUENTIN;2
62;SOISSONS;2
63;COURMELLES;2
64;VIC SUR AISNE;2
65;VILLERS-COTTERETS;2
66;LARGNY SUR AUTOMNE;2
67;NANTEUIL LA FOSSE;2
68;VAILLY-SUR-AISNE;2
69;COEUVRES ET VALSERY;2
70;BELLEU;2
71;CHATEAU THIERRY;2
72;FERE EN TARDENOIS;2
73;MOULINS;3
74;YZEURE;3
75;CUSSET;3
76;VICHY;3
77;SISTERON;4
78;RIEZ;4
79;ENCHASTRAYES;4
80;CHATEAU-ARNOUX-SAINT-AUBAN;4
81;DIGNE-LES-BAINS;4
82;MONTCLAR;4
83;ALLOS;4
84;CASTELLANE;4
85;JAUSIERS;4
86;LE LAUZET UBAYE;4
87;SEYNE;4
88;SAINTE CROIX DU VERDON;4
89;FAUCON-DE-BARCELONNETTE;4
90;BARCELONNETTE;4
91;GREOUX-LES-BAINS;4
92;SAINT-MARTIN-DE-BROMES;4
93;PEIPIN;4
94;VOLX;4
95;FORCALQUIER;4
96;SELONNET;4
97;MANOSQUE;4
98;UVERNET-FOURS;4
99;NOYERS-SUR-JABRON;4
100;PIERRERUE;4
101;ORAISON;4
102;L ESCALE;4
103;VILLENEUVE;4
104;VALENSOLE;4
105;VOLONNE;4
106;SAINTE-TULLE;4
107;SAINT-ETIENNE-LES-ORGUES;4
108;DEMANDOLX;4
109;BARREME;4
110;LARAGNE-MONTEGLIN;5
111;SAINT-MICHEL-DE-CHAILLOL;5
112;MONTGARDIN;5
113;VARS;5
114;EMBRUN;5
115;SAINT-SAUVEUR;5
116;BRIANCON;5
117;ORCIERES;5
118;VALLOUISE-PELVOUX;5
119;L'ARGENTIERE-LA-BESSEE;5
120;GAP;5
121;LE DEVOLUY;5
122;LA CHAPELLE-EN-VALGAUDEMAR;5
123;ABRIES-RISTOLAS;5
124;LA SALLE;5
125;VEYNES;5
126;ANCELLE;5
127;LES ORRES;5
128;SERRES;5
129;RISOUL;5
130;CHORGES;5
131;PUY SAINT VINCENT;5
132;SAINT-BONNET-EN-CHAMPSAUR;5
133;NEVACHE;5
134;LE MONETIER-LES-BAINS;5
135;LA BATIE NEUVE;5
136;GUILLESTRE;5
137;SAVINES-LE-LAC;5
138;MONTGENEVRE;5
139;LAYE;5
140;PUY-SANIERES;5
141;SAINT-CHAFFREY;5
142;NICE;6
143;NICE;6
144;NICE;6
145;SAINT-ANDRE DE LA ROCHE;6
146;LA TRINITE;6
147;FALICON;6
148;NICE;6
149;MENTON;6
150;ROQUEBRUNE CAP MARTIN;6
151;BEAUSOLEIL;6
152;LA BRIGUE;6
153;SAORGE;6
154;TENDE;6
155;SOSPEL;6
156;CASTELLAR;6
157;CASTILLON;6
158;GORBIO;6
159;MOULINET;6
160;BREIL-SUR-ROYA;6
161;SAINTE-AGNES;6
162;VILLEFRANCHE-SUR-MER;6
163;ISOLA;6
164;PEONE;6
165;VALDEBLORE;6
166;BEAULIEU SUR MER;6
167;PEILLON;6
168;DRAP;6
169;L'ESCARENE;6
170;CAP-D AIL;6
171;VILLARS-SUR-VAR;6
172;SAINT-MARTIN-VESUBIE;6
173;BENDEJUN;6
174;SAINT-ETIENNE-DE-TINEE;6
175;SAINT-MARTIN-DU-VAR;6
176;CONTES;6
177;LA TURBIE;6
178;GUILLAUMES;6
179;PEILLE;6
180;EZE;6
181;GILETTE;6
182;ROQUEBILLIERE;6
183;COLOMARS;6
184;SAINT-JEAN-CAP-FERRAT;6
185;LEVENS;6
186;BEUIL;6
187;BERRE-LES-ALPES;6
188;TOUDON;6
189;BLAUSASC;6
190;BELVEDERE;6
191;LUCERAM;6
192;LANTOSQUE;6
193;ASPREMONT;6
194;LA BOLLENE-VESUBIE;6
195;RIMPLAS;6
196;CANTARON;6
197;CLANS;6
198;LA ROQUETTE SUR VAR;6
199;UTELLE;6
200;PUGET-THENIERS;6
201;LE CANNET;6
202;MOUANS-SARTOUX;6
203;VALLAURIS;6
204;ANTIBES;6
205;ANTIBES;6
206;LA ROQUETTE SUR SIAGNE;6
207;MOUGINS;6
208;BIOT;6
