id_mutation;id_adresse;date_mutation;nature_mutation;valeur_fonciere
1;1;03/02/2020 00:00;Vente;56000
2;2;02/01/2020 00:00;Vente;165000
3;3;08/01/2020 00:00;Vente;720000
4;4;06/01/2020 00:00;Vente;429250
5;5;07/01/2020 00:00;Vente;220900
6;6;21/01/2020 00:00;Vente;42000
7;7;07/01/2020 00:00;Vente;262000
8;8;08/01/2020 00:00;Vente;190000
9;9;16/01/2020 00:00;Vente;563130
10;10;17/01/2020 00:00;Vente;535000
11;11;16/01/2020 00:00;Vente;330000
12;12;27/01/2020 00:00;Vente;110600
13;13;30/01/2020 00:00;Vente;50000
14;14;09/01/2020 00:00;Vente;212000
15;15;15/01/2020 00:00;Vente;160000
16;16;20/01/2020 00:00;Vente;561550
17;17;28/01/2020 00:00;Vente;358000
18;18;22/01/2020 00:00;Vente;220000
19;19;27/01/2020 00:00;Vente;79300
20;20;06/01/2020 00:00;Vente;285000
21;21;27/01/2020 00:00;Vente;123100
22;22;16/01/2020 00:00;Vente;107500
23;23;30/01/2020 00:00;Vente;128810
24;24;05/02/2020 00:00;Vente;31000
25;25;21/01/2020 00:00;Vente;125000
26;26;31/01/2020 00:00;Vente;285000
27;27;03/02/2020 00:00;Vente;140500
28;28;27/01/2020 00:00;Vente;101050
29;29;31/01/2020 00:00;Vente;530000
30;30;29/01/2020 00:00;Vente;486415
31;31;28/01/2020 00:00;Vente;185000
32;32;16/01/2020 00:00;Vente;131376
33;33;23/01/2020 00:00;Vente;155000
34;34;31/01/2020 00:00;Vente;150000
35;35;03/02/2020 00:00;Vente;67000
36;36;13/01/2020 00:00;Vente;114000
37;37;07/02/2020 00:00;Vente;143850
38;38;23/01/2020 00:00;Vente;237900
39;39;24/01/2020 00:00;Vente;425000
40;40;06/02/2020 00:00;Vente;220000
41;41;07/02/2020 00:00;Vente;55000
42;42;07/02/2020 00:00;Vente;164665
43;43;10/02/2020 00:00;Vente;89000
44;44;06/02/2020 00:00;Vente;475150
45;45;12/02/2020 00:00;Vente;132500
46;46;05/02/2020 00:00;Vente;68000
47;47;30/01/2020 00:00;Vente;570840
48;48;03/02/2020 00:00;Vente;135700
49;49;05/02/2020 00:00;Vente;62500
50;50;03/02/2020 00:00;Vente;332500
51;51;07/02/2020 00:00;Vente;428000
52;52;28/01/2020 00:00;Vente;210000
53;53;12/02/2020 00:00;Vente;50000
54;54;28/01/2020 00:00;Vente;592487
55;55;10/02/2020 00:00;Vente;295000
56;56;12/02/2020 00:00;Vente;133000
57;57;29/01/2020 00:00;Vente;580450
58;58;20/02/2020 00:00;Vente;105500
59;59;04/02/2020 00:00;Vente;152900
60;60;05/02/2020 00:00;Vente;352300
61;61;17/02/2020 00:00;Vente;215000
62;62;14/02/2020 00:00;Vente;128460
63;63;14/02/2020 00:00;Vente;90500
64;64;11/02/2020 00:00;Vente;305500
65;65;18/02/2020 00:00;Vente;430000
66;66;04/02/2020 00:00;Vente;152470
